worker_id,task_index,predicted_ms,actual_ms,ratio,correction
7,12,203.624,4193.0,20.59187522099556,9.8754
6,35,1956.638,2013.0,1.0288055327556758,1.0242
10,35,1939.553,2004.0,1.0332277591795636,1.0318
12,35,1938.677,2037.0,1.050716545355415,1.0374
8,35,1916.12,1961.0,1.0234223326305243,1.0377
9,35,1916.346,2040.0,1.0645259259027335,1.0499
11,35,1925.596,1963.0,1.0194246352817518,1.0329
5,35,1936.542,1992.0,1.0286376438001346,1.0315
1,35,1973.937,2002.0,1.0142167657833052,1.0135
4,35,1979.373,2005.0,1.0129470291855047,1.0112
6,36,1952.829,2000.0,1.0241552127708058,1.0242
10,36,1938.389,1996.0,1.029721072498864,1.0312
12,36,1927.976,1996.0,1.0352825968787993,1.0367
8,36,1927.395,2041.0,1.0589422510694486,1.0441
9,36,1904.916,1962.0,1.0299666756959363,1.0439
11,36,1936.342,2040.0,1.0535328986305104,1.0391
5,36,1938.869,1997.0,1.0299819121353737,1.0311
3,13,202.523,4092.0,20.20511250574009,9.9128
1,36,1973.344,2004.0,1.0155350511618857,1.0141
4,36,1977.889,2001.0,1.0116846799795136,1.0113
2,13,202.523,4159.0,20.53593912790152,9.9128
7,13,202.523,4161.0,20.54581454945858,9.9128
6,37,1952.829,1994.0,1.0210827471324935,1.0232
10,37,1939.553,1991.0,1.0265251838954645,1.0298
12,37,1929.133,1991.0,1.0320698469208707,1.0353
8,37,1915.614,1997.0,1.0424855946970528,1.0436
9,37,1915.836,1997.0,1.0423647953165094,1.0435
11,37,1924.794,2028.0,1.0536192444490162,1.0434
5,37,1939.741,2010.0,1.0362208150469574,1.0326
1,37,1972.161,1994.0,1.0110736395253734,1.0132
4,37,1977.593,1996.0,1.0093077797099808,1.0107
6,38,1954.589,1996.0,1.0211865512391607,1.0226
10,38,1942.175,2024.0,1.0421306010014546,1.0335
12,38,1931.741,1991.0,1.0306764726741318,1.0339
8,38,1916.476,2039.0,1.0639319250541097,1.0497
9,38,1916.699,2039.0,1.0638081409757087,1.0496
11,38,1916.743,2018.0,1.052827635212441,1.0463
5,38,1936.836,2015.0,1.0403565402543116,1.0349
3,14,201.759,4077.0,20.207276998795596,9.939
1,38,1973.937,1996.0,1.011177155096642,1.0126
4,38,1978.779,2000.0,1.0107242900798927,1.0107
2,14,201.759,4144.0,20.539356360806707,9.939
7,14,201.759,4156.0,20.598833261465412,9.939
6,39,1955.762,2070.0,1.0584109927486065,1.0334
10,39,1935.208,2004.0,1.0355476000512607,1.0341
12,39,1934.353,2357.0,1.2184952798170758,1.0893
8,39,1905.33,2259.0,1.1856213884209035,1.0905
9,39,1905.551,2259.0,1.185483883664095,1.0903
5,39,1932.488,2139.0,1.1068632767706708,1.0565
11,39,1911.581,2170.0,1.1351860057198728,1.0729
1,39,1975.122,2303.0,1.1660039227956551,1.0586
4,39,1978.779,2003.0,1.0122403765150125,1.0112
6,40,1935.44,2229.0,1.1516761046583723,1.0689
12,40,1836.033,1920.0,1.0457328381352624,1.0762
10,40,1934.048,2319.0,1.1990395274574364,1.0836
8,40,1834.076,1997.0,1.0888316514691867,1.09
3,15,201.228,4069.0,20.22084401773113,9.9573
9,40,1834.289,2088.0,1.1383157179702872,1.1047
5,40,1893.019,2252.0,1.1896341241160284,1.0964
11,40,1864.048,2513.0,1.348141249581556,1.1555
1,40,1889.256,1910.0,1.0109799836549413,1.0443
4,40,1977.889,1995.0,1.0086511427082108,1.0104
2,15,201.228,4144.0,20.59355556880752,9.9573
7,15,201.228,4128.0,20.51404377124456,9.9573
6,41,1871.165,1910.0,1.0207544497679253,1.0544
12,41,1858.333,1902.0,1.0234979414346084,1.0604
10,41,1845.729,1902.0,1.0304871408532887,1.0677
8,41,1834.902,1902.0,1.0365676205050733,1.074
9,41,1810.392,1850.0,1.021878134680224,1.0799
5,41,1824.069,1882.0,1.0317592152489845,1.077
11,41,1730.859,1754.0,1.0133696621157473,1.1129
1,41,1915.109,1935.0,1.0103863539882065,1.0341
4,41,1979.374,1998.0,1.0094100458023598,1.0101
6,42,1896.771,1933.0,1.0191003552880131,1.0438
12,42,1886.058,1934.0,1.025419154660143,1.0499
10,42,1873.266,1935.0,1.0329552770402068,1.0572
8,42,1862.277,1903.0,1.0218673161941,1.0583
9,42,1852.063,1933.0,1.0437009972122977,1.069
5,42,1856.936,1912.0,1.029653149058449,1.0628
11,42,1797.174,1835.0,1.021047489002178,1.0853
3,16,200.858,4060.0,20.213285007318603,9.9701
1,42,1933.965,1956.0,1.0113936911991686,1.0273
4,42,1979.967,1999.0,1.009612786475734,1.01
2,16,200.858,4121.0,20.516982146591122,9.9701
7,16,200.858,4121.0,20.516982146591122,9.9701
6,43,1916.027,1953.0,1.019296700933755,1.0365
12,43,1904.916,1953.0,1.0252420579175145,1.0425
10,43,1891.71,1953.0,1.0323992578143584,1.0498
8,43,1889.773,1986.0,1.0509198723867894,1.0561
9,43,1870.866,1917.0,1.0246591685347854,1.0557
11,43,1842.783,1869.0,1.0142268514523958,1.064
5,43,1881.776,1951.0,1.036786525069934,1.055
1,43,1946.814,1966.0,1.0098550760370533,1.0221
4,43,1980.264,1999.0,1.0094613647473267,1.0098
6,44,1929.631,1967.0,1.019365878761276,1.0313
12,44,1918.441,1967.0,1.0253116984051112,1.0374
8,44,1893.75,1933.0,1.0207260726072607,1.0455
10,44,1905.141,1969.0,1.033519303820557,1.0449
9,44,1894.451,1972.0,1.0409348143604664,1.0513
11,44,1879.72,1904.0,1.0129168173983358,1.0487
5,44,1895.709,1953.0,1.0302214105645962,1.0476
3,17,200.6,4073.0,20.304087736789633,9.9791
1,44,1956.794,1978.0,1.0108371141775783,1.0187
4,44,1980.561,1998.0,1.00880508098463,1.0095
2,17,200.6,4116.0,20.518444666001994,9.9791
7,17,200.6,4118.0,20.5284147557328,9.9791
6,45,1939.231,1990.0,1.0261799651511347,1.0298
10,45,1914.041,1995.0,1.0422974220510428,1.0441
12,45,1927.985,2044.0,1.0601742233471734,1.0442
8,45,1912.976,1998.0,1.044445931365579,1.0452
9,45,1902.441,2073.0,1.0896527145914117,1.0628
11,45,1907.183,1959.0,1.0271693906667583,1.0422
5,45,1909.169,1969.0,1.0313387657142976,1.0427
1,45,1963.272,1984.0,1.0105578850001427,1.0163
4,45,1981.155,2001.0,1.0100168840903412,1.0097
6,46,1942.144,2034.0,1.0472961840110724,1.035
10,46,1915.478,2003.0,1.0456919891536212,1.0446
12,46,1915.343,2003.0,1.0457656931421682,1.0447
8,46,1913.55,2080.0,1.0869849233100781,1.0577
9,46,1881.835,1966.0,1.0447249626029913,1.0574
11,46,1918.984,2044.0,1.065146973606867,1.0491
5,46,1918.088,1985.0,1.0348847393863057,1.0404
3,18,200.42,4049.0,20.202574593353958,9.9853
1,46,1967.995,1992.0,1.0121976935917012,1.015
4,46,1980.857,1998.0,1.008654334967138,1.0094
2,18,200.42,4115.0,20.531883045604232,9.9853
7,18,200.42,4129.0,20.60173635365732,9.9853
6,47,1932.289,2095.0,1.0842063480152295,1.0498
10,47,1914.616,2035.0,1.0628763156685206,1.0501
12,47,1914.482,2035.0,1.0629507093824857,1.0502
8,47,1890.859,1958.0,1.035508200241266,1.0511
11,47,1906.402,1932.0,1.0134273883472635,1.0384
9,47,1891.482,2153.0,1.1382608980682871,1.0816
5,47,1922.413,2049.0,1.065847973354321,1.048
1,47,1970.36,1991.0,1.0104752431027832,1.0137
4,47,1981.452,2000.0,1.0093608121720838,1.0094
6,48,1905.14,1993.0,1.046117345706877,1.0487
10,48,1904.617,2035.0,1.068456282811715,1.0556
12,48,1904.483,2068.0,1.0858589969036216,1.0609
8,48,1902.847,2111.0,1.109390297801137,1.0686
9,48,1849.046,1916.0,1.0362100239799334,1.068
11,48,1926.047,2134.0,1.1079688086531636,1.0593
5,48,1908.387,2024.0,1.0605815277509227,1.0518
3,19,200.294,4047.0,20.205298211628904,9.9897
1,48,1973.023,1995.0,1.011138744961412,1.0129
4,48,1981.452,2006.0,1.0123888946086002,1.0103
6,49,1907.143,1951.0,1.0229961780527208,1.041
10,49,1894.67,1952.0,1.0302585674550184,1.048
12,49,1885.253,1952.0,1.0354047971280247,1.0532
2,19,200.294,4142.0,20.679600986549772,9.9897
8,49,1871.683,1953.0,1.0434459254051034,1.061
9,49,1872.641,1953.0,1.042912122505061,1.0605
7,19,200.294,4168.0,20.80941016705443,9.9897
11,49,1888.097,1979.0,1.0481453018568432,1.0559
5,49,1901.541,2077.0,1.0922720046530683,1.0639
1,49,1974.504,1997.0,1.0113932410367363,1.0125
4,49,1979.67,2000.0,1.0102693883323988,1.0103
6,50,1921.264,1965.0,1.0227641802480034,1.0355
10,50,1908.41,1966.0,1.0301769535896375,1.0426
12,50,1898.926,1966.0,1.0353220715288538,1.0479
8,50,1884.972,2027.0,1.0753475383188715,1.0653
9,50,1885.937,2065.0,1.0949464377654186,1.0708
11,50,1894.063,2047.0,1.0807454662278921,1.0634
5,50,1879.829,1956.0,1.040520174973362,1.0569
3,20,200.205,4050.0,20.229265003371545,9.9928
1,50,1975.393,2020.0,1.022581329386102,1.0155
